bidder_id,prediction
49bb5a3c944b8fc337981cc7a9ccae41u31d7,0.0347748050245
a921612b85a1494456e74c09393ccb65ylp4y,0.0266341527489
6b601e72a4d264dab9ace9d7b229b47479v6i,0.0417636432948
eaf0ed0afc9689779417274b4791726cn5udi,0.0435473349448
cdecd8d02ed8c6037e38042c7745f688mx5sf,0.0386671195493
d4aed439bdc854a56fc6cc3bdb986775w7hxw,0.0557179763609
ed591299b162a19ff77f0479495831b31hl1q,0.0383936099408
eebdee08b0f67283126ef60307f49680sb9va,0.0692973258243
6887f0abc4eb4c79eb0e23c48ceea186vjfih,0.039610141768
37eb6e2979e66d4ce29a74ac1c8bc6a5lqs6t,0.0479079045236
3bdce1c10890630c287cc3f758ae0dc3ddpu8,0.13048969363
78fdbeba625c6ee7a1bce379b4263773auglk,0.0402212279469
65d451d17c6c3cc8bcfad0f4253f307arko5e,0.039337389301
5ad0cf9fa41c6ee677e708cd704ba9609qjod,0.0501885158932
b017a5693a93f7e5fcab8e4be495951f5hlp3,0.0394762062819
29606fe1516646d7058c2830d03643705t8hg,0.0354950108195
1c93e9b89cbb10abc6180e3a0e5061fcwugql,0.0323735814966
de24bbcb87c906b5e385ec715df727dcgj8gs,0.0403181156923
7f6d1b6369786181188848e7903ba72ckc0xv,0.0713420633811
2fdc5ca6fd51089afe756ee00e4f7e23le4gq,0.0413813927252
3cda68167e63c7edcb7a618e466f5e82iv4xq,0.0332961846222
40848d51755dda8e1aa23ba52bfb1ab5ewrso,0.0396101301676
3e322551a9657e97b345bb965bbab4d8eawre,0.0311255039959
1a1d4e9eba20c58b73fd68c5ab9907081xw9l,0.232057209187
5759ce7d1b3dbe6ddf4a1d128e767085yu5iv,0.0425074102137
a32715dae5fe9d7f9e29c70e6171a513nal30,0.0397797700245
2fd12c6c9a8c86edf1dc5d3bb6bd11dd9skfc,0.0405752987646
6c13e796dc0cb45b234234a7117d6fe9ta8qr,0.0403757267255
9f1e93f86a9d053856f754386fbeacf7bbn0h,0.0382378763883
a597c466ab9757c8b6b3f1da537303ccizhqj,0.0278945700806
8f903e6e380c42b5ad29d74dfbde74709ptfy,0.0378939859419
8ec77c402265170cdff483194d26a711b2jw9,0.0434803781772
